Evaporator Inlet Water Temperature,Evaporator Outlet Water Temperature,Evaporator Flow rate,Condensor Refrigerant Pressure,Condensor Inlet Water Temperature,Condensor Outlet Water Temperature,Condensor Flow Rate,Motor KW
10.3,5.2,271.5,126.9,26.8,31.7,419.6,250.3
10.3,5.3,271.3,126.2,26.8,31.7,416.5,250.1
10.3,5.2,271.4,126.2,26.8,31.7,417.2,250.4
10.3,5.2,271.9,126.2,26.8,31.7,416.8,250.0
10.3,5.2,271.6,126.2,26.8,31.7,419.5,250.3
10.3,5.2,270.4,126.2,26.8,31.7,419.1,250.2
10.3,5.2,271.8,126.2,26.8,31.7,417.0,250.1
10.3,5.2,270.9,126.2,26.8,31.6,418.2,250.0
10.3,5.2,271.2,126.2,26.8,31.7,417.0,250.0
10.3,5.2,271.3,126.2,26.8,31.7,418.5,249.7
10.3,5.2,271.2,126.2,26.8,31.7,417.2,250.0
10.3,5.2,271.3,126.2,26.8,31.6,416.8,249.9
10.3,5.2,271.9,126.2,26.8,31.7,417.3,250.0
10.3,5.2,271.8,126.2,26.8,31.7,417.4,249.7
10.3,5.2,271.4,126.2,26.8,31.6,416.3,250.5
10.3,5.2,270.6,126.2,26.8,31.6,419.7,250.4
10.3,5.2,272.1,126.2,26.8,31.6,418.9,250.4
10.3,5.2,271.1,126.2,26.8,31.6,419.4,250.5
10.3,5.2,271.7,126.2,26.8,31.6,417.1,250.4
10.3,5.2,272.2,126.2,26.7,31.6,417.9,250.7
10.3,5.2,271.5,126.2,26.7,31.6,417.5,250.7
10.3,5.2,271.3,126.2,26.7,31.6,413.2,250.9
10.3,5.2,271.0,126.2,26.8,31.6,418.2,251.0
10.3,5.2,272.4,125.5,26.7,31.6,419.3,251.1
10.3,5.2,271.9,126.2,26.7,31.6,418.2,251.0
10.3,5.2,270.4,126.2,26.8,31.6,417.6,251.1
10.3,5.2,270.6,126.2,26.7,31.6,417.3,250.2
10.3,5.2,271.6,126.2,26.7,31.6,418.3,250.6
10.3,5.2,271.3,126.2,26.7,31.6,418.6,250.3
10.3,5.2,272.4,126.2,26.7,31.6,418.6,250.5
10.3,5.2,272.0,126.2,26.6,31.6,417.5,250.0
10.3,5.2,271.8,125.5,26.7,31.6,416.7,250.1
10.3,5.2,272.2,126.2,26.7,31.6,418.2,249.9
10.3,5.2,270.7,125.5,26.7,31.6,418.1,249.4
10.3,5.2,271.4,125.5,26.6,31.6,418.0,249.4
10.3,5.2,270.7,125.5,26.6,31.6,416.9,249.6
10.3,5.2,271.3,125.5,26.6,31.5,418.6,249.3
10.3,5.2,271.7,125.5,26.6,31.5,417.2,249.3
10.3,5.2,270.9,125.5,26.6,31.5,416.7,249.7
10.3,5.2,271.7,125.5,26.6,31.5,418.7,249.3
10.3,5.2,271.8,125.5,26.6,31.5,417.8,249.5
10.3,5.2,270.7,125.5,26.6,31.5,418.0,250.0
10.3,5.2,271.5,125.5,26.6,31.5,418.7,250.4
10.3,5.2,271.7,125.5,26.6,31.5,419.1,250.4
10.3,5.2,271.7,125.5,26.6,31.5,419.7,250.3
10.3,5.2,271.6,125.5,26.6,31.5,412.6,250.3
10.3,5.2,271.0,125.5,26.6,31.5,415.8,250.2
10.3,5.2,271.8,125.5,26.6,31.5,418.7,249.7
